recording_id,species_id,species_encoded,pca_1,pca_2,umap_1,umap_2
8028f97c2,12,1,1.4622470980206148,-4.348262610605563,3.3304617,5.0438776
7e60a570a,23,4,-3.3665901784259944,-0.5604748895470094,0.034782022,2.3930113
b441cf212,23,4,-7.048250810114777,-1.7195362588021759,-2.3214197,5.3162336
cddceb09a,12,1,0.1005821454139551,-1.5744455498235321,1.647949,5.4446635
adbe22d73,10,0,-6.531605296453486,-1.8155113248693844,-2.2074142,3.4823823
acb80ff69,17,2,-2.3044278612602103,1.3123228467491923,-3.4487684,1.0132407
b1567318d,17,2,-6.94623678074347,-2.106910587554783,-2.3519378,5.2574415
23f2f2080,17,2,-2.514093026582386,-0.2877719191316921,-1.4295037,5.9451556
c12e0a62b,17,2,0.9733741399551457,-1.986112947114467,2.3418097,5.568633
a12182698,17,2,4.259066561212365,-0.6381508555461444,4.3678927,5.1281166
c4ec1e7de,12,1,-1.2592282349077122,1.8407783897946595,2.8755078,2.4477978
19d786948,17,2,-5.967665550312401,2.0237654163942635,-3.5170429,4.7549586
fb71ca02d,23,4,4.208645929814627,4.797725437900863,2.9004543,6.8538384
5bc5ecedf,18,3,1.020662221318717,6.917572598755903,4.6565146,1.6702429
180d82dca,17,2,-2.9948000715931338,3.1483478404044023,-4.152541,4.3495483
62433a307,18,3,9.917940576814635,-5.9945854418949285,4.7096844,4.4263854
1d949c49d,23,4,-3.209114718967097,0.6345222617113839,-2.074787,2.0010014
22a4f5ea7,10,0,3.7961699426937496,4.83824286928486,3.6814387,1.4146452
d91f26b37,17,2,-5.558183624600872,2.2037954072574957,-4.0519004,2.3105614
caf8b47ae,12,1,2.8609488635623332,2.1081335226605113,4.8115563,1.8310864
e0e8ceb33,18,3,-0.844469381266117,7.278505282806403,2.4634197,9.674978
ce4002d4e,23,4,0.7259843524302618,-0.9771560565286309,-0.14708348,-0.27462396
27c146a88,23,4,-5.475357615076357,-0.9545809078696661,-4.882091,1.3227044
7a578a3db,17,2,-8.951558489148768,0.18779639499745604,-3.015222,5.654636
4261df85b,23,4,-2.5203064029812845,2.8182994996690898,3.6671185,0.010659043
5b1e3b55b,17,2,-4.807907921866236,2.525589302891256,-3.124207,-2.113132
4f1e24bce,10,0,-5.8799977085118185,-1.4833480974877717,-2.1453485,3.4936106
551385b05,10,0,4.641606356245984,1.8730245972958004,5.631336,1.0336316
d59d099b3,17,2,-7.330895161114071,-0.1624149918759605,-3.9718702,2.8064063
9074b816c,17,2,1.946374626303524,3.7209505871037347,3.4321058,2.3932438
46d4f692a,18,3,-2.5376133337137485,-1.3745533968561356,0.39765584,2.6701624
6d108a590,18,3,12.977725663756033,1.4568670199296763,5.480872,2.8230445
28974b8b6,17,2,3.2518416788677955,0.8206508290705209,2.3345017,9.506183
f7cf8e342,12,1,-3.274514225406559,-1.1590064172777113,-1.4787741,5.8537784
af0cf8016,10,0,6.251959367350319,-5.151718464010284,4.1936536,4.7354503
670946fce,18,3,3.3264652458642088,8.074751709076764,4.031664,1.6040555
206f79102,23,4,-1.5345529036695507,-3.6943320115003986,0.38671133,4.30561
0e0a36d7a,18,3,0.9941413092651277,-2.638997586897888,3.1114643,5.6103296
c848a67ab,18,3,6.4801974687430866,-1.3861776112861806,4.3268723,4.7726603
71e3f0503,10,0,-0.7092433011443721,-0.87009582125841,1.0863869,2.8948734
5c18970b8,12,1,-8.620279014870789,-0.874922715149785,-3.1702702,5.367982
16553d5cd,23,4,-9.769579496739217,-0.35692418456340075,-3.207117,5.5341353
d5cd58b16,17,2,10.869471471882813,-2.144292027303324,5.285683,4.516969
38e65e173,17,2,8.086200170214791,3.9245259208191965,2.9746892,1.4115345
783029b7b,18,3,-8.04169934252224,-1.8207662301788692,-3.1157823,3.3563008
915443145,10,0,1.4565015319713879,-3.460454630504628,2.3943768,5.1219926
9cb5f0d5f,18,3,3.290093246210776,3.4754977958870064,4.635982,1.9047438
049bbf288,23,4,-5.8496748161288386,0.7636299718271647,-2.6358657,5.8537107
94b789ac1,12,1,-7.24648054166438,0.3453298540348261,-4.0086517,2.7974029
ac7f34e8f,12,1,-2.9247984603084127,-1.2472192099051722,0.03425399,2.970925
2c8b3fa52,23,4,-5.127318144197572,-2.0614292849433316,-0.2970463,6.763953
928ef4799,17,2,-5.58883232826705,-1.1106753191434304,-1.9848813,5.5100803
2bb539997,10,0,-3.4967495975623315,-3.8500395659939857,-0.54685795,6.278775
d169ed0b5,12,1,8.924993382215233,-1.9315906189835776,5.384212,4.402994
de621d3a5,12,1,2.1863322941296754,-4.3262653552415555,3.324205,5.073617
a0af97b46,23,4,-1.6585392559958512,2.462047890247276,-4.09269,0.67238986
568f644e1,12,1,-3.7118939267688997,-2.497167957871133,-0.021221697,6.5238814
437975e83,23,4,9.204280357773767,-2.3802468265781793,5.38064,4.3658643
84fd342f8,12,1,-3.2276246556365207,-0.26886872919203403,-1.4950409,5.663323
6093f0100,17,2,3.7165239286712,1.635759532166765,3.558558,2.7976763
f93a90649,10,0,-0.28818952083690835,-2.266406984445111,1.5633366,2.9954312
737d85472,23,4,-3.620945421998667,-3.461144463708838,-0.56478214,6.2778826
f806be4f5,10,0,-7.803896310098743,-0.530499858478455,-3.9687176,2.9070535
5e94a23dd,10,0,-6.515413259335571,3.008838184649412,-4.0156035,2.1261573
557506b62,17,2,-1.0582229782548944,0.3263025554071053,-0.38171846,-0.4723928
e42155880,18,3,-1.5186346437884373,5.721068020043069,2.9027667,9.227474
f827a8428,23,4,-8.5906979819833,-0.03271862990100417,-3.0895514,3.622405
1ce9fc3a3,10,0,-1.1992484984428102,-1.9567233092872913,1.0823587,3.005761
17817e8f8,12,1,1.420997570216875,6.568428387593361,3.775137,1.5227678
534ffb33a,10,0,-7.0246829678399605,-0.6653908721149077,-3.784361,3.9751494
364e10d4b,17,2,4.170233935949253,-0.964691818300196,3.5481873,3.3926055
5cbd74b02,10,0,-0.3191243144764857,-3.0765667018658847,1.509206,4.6825886
9c00b4d82,10,0,1.848642505499951,2.0631595639937212,5.2502885,0.48107076
0f51600c8,10,0,-7.59079498660955,-1.184156574592551,-2.9852266,3.5563815
f1b7d8c75,18,3,-10.413985504630865,-1.224703963942553,-3.1791687,5.5560303
0f9fcb0c4,10,0,-1.6863730340113114,-1.8256029414349755,0.34384945,3.3249354
dd81b8980,17,2,6.144119927282191,4.01150401492024,6.0996733,5.6680856
